host_id,neighbourhood,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
2787,108,1,1,9,0.21,6,365,5.010635294096256
2845,127,0,1,45,0.38,2,355,5.420534999272286
4632,94,1,3,0,0.0,1,365,5.017279836814924
4869,41,0,1,270,4.64,1,194,4.499809670330265
7192,61,0,10,9,0.1,1,0,4.394449154672439
7322,137,0,3,74,0.59,1,129,5.303304908059076
7356,13,1,45,49,0.4,1,0,4.110873864173311
8967,95,1,2,430,3.47,1,220,4.382026634673881
7490,202,1,2,118,0.99,1,0,4.382026634673881
7549,35,0,1,160,1.33,4,188,5.017279836814924
7702,202,0,5,53,0.43,1,6,4.912654885736052
7989,95,1,2,188,1.5,1,39,4.454347296253507
9744,182,1,4,167,1.34,3,314,4.499809670330265
11528,202,1,2,113,0.91,1,333,4.454347296253507
11975,209,0,90,27,0.22,1,0,4.795790545596741
15991,214,0,2,148,1.2,1,46,4.948759890378168
17571,80,0,2,198,1.72,1,321,5.375278407684165
18946,34,1,1,260,2.12,1,12,4.948759890378168
20950,51,0,3,53,4.44,1,21,4.605170185988092
17985,61,0,7,0,0.0,2,249,5.25227342804663
21207,214,0,3,9,0.07,1,0,5.703782474656201
22486,151,1,2,130,1.09,6,347,4.875197323201151
22486,151,1,1,39,0.37,6,364,4.394449154672439
22486,151,1,2,71,0.61,6,304,4.709530201312334
25183,13,0,2,88,0.73,2,233,4.795790545596741
25326,216,1,1,19,1.37,2,85,4.110873864173311
26394,103,1,4,0,0.0,1,0,4.394449154672439
30193,95,0,10,58,0.49,1,75,5.017279836814924
31374,103,1,3,108,1.11,3,311,3.80666248977032
21904,64,0,14,29,0.24,1,67,5.198497031265826
32294,94,1,3,242,2.04,3,355,3.9318256327243257
32045,94,1,2,88,1.42,1,255,3.970291913552122
32169,91,1,4,197,1.65,3,284,4.02535169073515
32294,94,1,3,273,2.37,3,359,3.9318256327243257
35935,13,1,1,74,0.66,2,269,4.262679877041316
9744,182,1,4,168,1.41,3,340,4.499809670330265
7355,13,1,60,0,0.0,1,365,3.58351893845611
44145,28,0,2,231,1.96,2,22,4.454347296253507
45445,74,1,1,0,0.0,1,365,5.017279836814924
7549,119,2,1,214,1.81,4,188,3.713572066704308
46978,64,1,2,245,2.08,2,96,4.23410650459726
47610,182,0,3,15,0.39,1,345,4.795790545596741
47618,80,1,7,25,0.23,1,311,4.795790545596741
16800,202,1,4,81,0.69,1,273,4.912654885736052
47727,94,0,7,97,0.84,1,309,5.017279836814924
49670,159,0,29,11,0.49,1,95,5.017279836814924
50124,117,1,3,248,2.25,1,215,4.875197323201151
50148,13,0,7,61,0.52,1,265,4.709530201312334
50846,13,0,3,11,0.1,1,0,4.7535901911063645
52335,80,1,3,135,1.16,2,192,4.394449154672439
54275,13,1,1,112,1.01,3,251,4.394449154672439
56094,202,0,2,73,0.63,1,302,5.0238805208462765
56104,214,0,3,82,0.7,1,140,5.43372200355424
56246,91,0,2,328,2.82,1,234,4.976733742420574
56284,112,0,7,19,0.22,1,257,5.303304908059076
56512,214,0,30,105,0.9,1,30,5.017279836814924
59023,119,1,5,19,0.17,1,301,4.709530201312334
59734,95,1,2,289,2.49,2,294,4.248495242049359
32169,91,1,4,138,1.19,3,320,3.912023005428146
60049,178,0,30,21,0.3,1,154,5.198497031265826
60252,214,1,2,42,0.38,1,263,4.394449154672439
60278,34,0,180,5,0.12,1,180,5.929589143389895
61491,201,0,2,66,0.57,2,231,5.525452939131784
63588,158,0,30,143,1.33,2,297,5.303304908059076
63613,41,1,7,27,0.23,2,292,4.02535169073515
63924,95,1,30,191,1.65,1,191,3.970291913552122
64056,151,0,3,4,0.16,1,0,5.420534999272286
64442,64,1,1,338,4.72,2,72,4.394449154672439
64522,214,0,1,148,1.4,1,362,5.62040086571715
4396,64,1,1,106,1.26,2,336,4.605170185988092
65837,61,0,4,190,1.64,1,215,5.420534999272286
66035,64,0,9,49,0.43,1,116,5.442417710521793
66243,95,1,7,23,0.43,1,88,3.951243718581428
68428,206,1,2,49,1.6,2,336,4.189654742026425
68599,41,1,2,105,0.92,1,304,4.663439094112067
69829,64,0,5,21,0.2,1,224,5.25227342804663
69942,201,1,1,142,1.5,1,322,5.303304908059076
70091,220,1,30,25,0.22,1,324,4.262679877041316
71512,80,1,3,143,1.28,1,132,4.564348191467836
71876,34,1,3,167,1.65,1,295,5.017279836814924
72014,214,1,3,61,0.54,4,238,4.983606621708336
73051,94,0,31,54,0.49,1,209,4.709530201312334
73128,119,0,5,70,0.62,1,328,5.655991810819852
73469,74,0,6,16,0.15,1,38,4.875197323201151
44263,119,1,30,94,0.84,1,188,4.553876891600541
74303,25,0,1,25,0.24,1,7,6.68586094706836
74857,214,0,3,61,0.53,1,272,4.663439094112067
62407,64,1,3,194,1.73,1,26,4.110873864173311
76627,64,1,1,2,0.05,1,0,3.9318256327243257
72014,214,1,3,174,1.54,4,288,4.454347296253507
961342,28,1,4,24,0.28,1,317,4.189654742026425
78460,158,0,4,166,3.4,1,207,4.882801922586371
51038,41,1,7,16,0.2,6,185,4.59511985013459
79070,158,0,7,21,0.3,1,158,5.525452939131784
79402,214,0,5,168,1.57,1,0,4.61512051684126
44145,28,0,3,118,1.05,2,9,4.663439094112067
42032,202,0,3,81,0.71,1,198,4.948759890378168
82685,94,1,1,1,0.11,1,365,4.499809670330265
83257,34,1,30,30,0.27,2,364,4.59511985013459
87773,13,0,7,139,1.23,2,311,4.836281906951478
