host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2787,1,108,1,5.010635294096256,1,9,0.21,6,365
2845,2,127,0,5.420534999272286,1,45,0.38,2,355
4632,2,94,1,5.017279836814924,3,0,0.0,1,365
4869,1,41,0,4.499809670330265,1,270,4.64,1,194
7192,2,61,0,4.394449154672439,10,9,0.1,1,0
7322,2,137,0,5.303304908059076,3,74,0.59,1,129
7356,1,13,1,4.110873864173311,45,49,0.4,1,0
8967,2,95,1,4.382026634673881,2,430,3.47,1,220
7490,2,202,1,4.382026634673881,2,118,0.99,1,0
7549,2,35,0,5.017279836814924,1,160,1.33,4,188
7702,2,202,0,4.912654885736052,5,53,0.43,1,6
7989,2,95,1,4.454347296253507,2,188,1.5,1,39
9744,1,182,1,4.499809670330265,4,167,1.34,3,314
11528,2,202,1,4.454347296253507,2,113,0.91,1,333
11975,2,209,0,4.795790545596741,90,27,0.22,1,0
15991,1,214,0,4.948759890378168,2,148,1.2,1,46
17571,1,80,0,5.375278407684165,2,198,1.72,1,321
18946,2,34,1,4.948759890378168,1,260,2.12,1,12
20950,1,51,0,4.605170185988092,3,53,4.44,1,21
17985,2,61,0,5.25227342804663,7,0,0.0,2,249
21207,1,214,0,5.703782474656201,3,9,0.07,1,0
22486,1,151,1,4.875197323201151,2,130,1.09,6,347
22486,1,151,1,4.394449154672439,1,39,0.37,6,364
22486,1,151,1,4.709530201312334,2,71,0.61,6,304
25183,1,13,0,4.795790545596741,2,88,0.73,2,233
25326,1,216,1,4.110873864173311,1,19,1.37,2,85
26394,2,103,1,4.394449154672439,4,0,0.0,1,0
30193,2,95,0,5.017279836814924,10,58,0.49,1,75
31374,2,103,1,3.80666248977032,3,108,1.11,3,311
21904,2,64,0,5.198497031265826,14,29,0.24,1,67
32294,2,94,1,3.9318256327243257,3,242,2.04,3,355
32045,2,94,1,3.970291913552122,2,88,1.42,1,255
32169,1,91,1,4.02535169073515,4,197,1.65,3,284
32294,2,94,1,3.9318256327243257,3,273,2.37,3,359
35935,1,13,1,4.262679877041316,1,74,0.66,2,269
9744,1,182,1,4.499809670330265,4,168,1.41,3,340
7355,1,13,1,3.58351893845611,60,0,0.0,1,365
44145,1,28,0,4.454347296253507,2,231,1.96,2,22
45445,1,74,1,5.017279836814924,1,0,0.0,1,365
7549,2,119,2,3.713572066704308,1,214,1.81,4,188
46978,2,64,1,4.23410650459726,2,245,2.08,2,96
47610,1,182,0,4.795790545596741,3,15,0.39,1,345
47618,1,80,1,4.795790545596741,7,25,0.23,1,311
16800,2,202,1,4.912654885736052,4,81,0.69,1,273
47727,2,94,0,5.017279836814924,7,97,0.84,1,309
49670,1,159,0,5.017279836814924,29,11,0.49,1,95
50124,3,117,1,4.875197323201151,3,248,2.25,1,215
50148,1,13,0,4.709530201312334,7,61,0.52,1,265
50846,1,13,0,4.7535901911063645,3,11,0.1,1,0
52335,1,80,1,4.394449154672439,3,135,1.16,2,192
54275,1,13,1,4.394449154672439,1,112,1.01,3,251
56094,2,202,0,5.0238805208462765,2,73,0.63,1,302
56104,1,214,0,5.43372200355424,3,82,0.7,1,140
56246,1,91,0,4.976733742420574,2,328,2.82,1,234
56284,2,112,0,5.303304908059076,7,19,0.22,1,257
56512,1,214,0,5.017279836814924,30,105,0.9,1,30
59023,2,119,1,4.709530201312334,5,19,0.17,1,301
59734,2,95,1,4.248495242049359,2,289,2.49,2,294
32169,1,91,1,3.912023005428146,4,138,1.19,3,320
60049,2,178,0,5.198497031265826,30,21,0.3,1,154
60252,1,214,1,4.394449154672439,2,42,0.38,1,263
60278,2,34,0,5.929589143389895,180,5,0.12,1,180
61491,2,201,0,5.525452939131784,2,66,0.57,2,231
63588,1,158,0,5.303304908059076,30,143,1.33,2,297
63613,1,41,1,4.02535169073515,7,27,0.23,2,292
63924,2,95,1,3.970291913552122,30,191,1.65,1,191
64056,1,151,0,5.420534999272286,3,4,0.16,1,0
64442,2,64,1,4.394449154672439,1,338,4.72,2,72
64522,1,214,0,5.62040086571715,1,148,1.4,1,362
4396,2,64,1,4.605170185988092,1,106,1.26,2,336
65837,2,61,0,5.420534999272286,4,190,1.64,1,215
66035,2,64,0,5.442417710521793,9,49,0.43,1,116
66243,2,95,1,3.951243718581428,7,23,0.43,1,88
68428,2,206,1,4.189654742026425,2,49,1.6,2,336
68599,1,41,1,4.663439094112067,2,105,0.92,1,304
69829,2,64,0,5.25227342804663,5,21,0.2,1,224
69942,2,201,1,5.303304908059076,1,142,1.5,1,322
70091,3,220,1,4.262679877041316,30,25,0.22,1,324
71512,1,80,1,4.564348191467836,3,143,1.28,1,132
71876,2,34,1,5.017279836814924,3,167,1.65,1,295
72014,1,214,1,4.983606621708336,3,61,0.54,4,238
73051,2,94,0,4.709530201312334,31,54,0.49,1,209
73128,2,119,0,5.655991810819852,5,70,0.62,1,328
73469,1,74,0,4.875197323201151,6,16,0.15,1,38
44263,2,119,1,4.553876891600541,30,94,0.84,1,188
74303,1,25,0,6.68586094706836,1,25,0.24,1,7
74857,1,214,0,4.663439094112067,3,61,0.53,1,272
62407,2,64,1,4.110873864173311,3,194,1.73,1,26
76627,2,64,1,3.9318256327243257,1,2,0.05,1,0
72014,1,214,1,4.454347296253507,3,174,1.54,4,288
